sku_code,category,subcategory,model_name,style_tags,description,price_inr,height_in,width_in,depth_in,colour
31458IN,wash_basin,wall-mount,Span,minimalist;classic;contemporary,"The KOHLER® Span™ oval wall-mount bathroom sink with glazed underside is a testament to refined minimalism and functional artistry. Its gently sloped edges and unique geometric silhouette, featuring a rounded front and squared rear, create a harmonious balance of curves and clean lines that seamlessly align with your bathroom wall. Thoughtfully designed for convenience and practicality, the integrated faucet deck accommodates your choice of single-handle bathroom sink faucets, and also provides a modest yet practical countertop surface, perfect for essential bathroom items like soap, lotion, or a decorative accessory. For an added layer of sophistication, pair the Span™ sink with a coordinating shroud that elegantly conceals plumbing, transforming the setup into a semi-pedestal display that emphasizes streamlined beauty. With its robust construction and timeless design, the KOHLER® Span™ wall-mount sink is an ideal choice for compact spaces, creating an airy, open feel in smaller bathrooms. It brings together innovative craftsmanship and contemporary style to elevate your bathroom experience, making it a centerpiece of modern sophistication.",6000,7,19,18.5,white
72275IN-4ND,faucet,base-mount,Aleo,contemporary;minimalist;traditional,"The Aleo® single-handle bathroom sink faucet was thoughtfully designed to offer you a truly modern experience where simplicity and beauty collide. With smooth planes and a contemporary spout, this faucet exudes minimalism while being convenient and reliable for everyday use. A single elegant Lever-style handle is easy to use as it controls both the volume and temperature with one motion.",19000,6,2,5,brushed_bronze
14402IN-4A,faucet,base-mount,Purist,zen;natural;luxury,"Purist faucets and accessories combine simple, architectural forms with sensual design lines.",35000,8,2,6.5,brushed_bronze
23475T-4,faucet,base-mount,Parallel,modern;luxury;ornate,"Parallel™ is the quintessential expression of today’s modern aesthetic movement. The contrast between fluid blends and sharp lines exudes sophistication and refinement. Its subtle and sensual curves invite touch, while its precise geometry gives a sense of control and precision. Parallel™ provides warmth and magnetism to any modern contemporary bathroom. True to its origins in design minimalism, Parallel™ revives a pure way to connect with the eye and the hand. ",28000,10.5,2,6,matte_black
25759IN-4ND,faucet,wall-mount,ModernLife Edge,classic;sleek;contemporary,"The ModernLife Edge wall-mount bathroom sink faucet reinvents classic cubist design with slim lines and a strong, expressive stance. A unique one-piece design creates a continuous look and is also easier to install. This elegant faucet is made with precision machining and quality craftsmanship, making it both durable and reliable.",28000,6,6.5,7.5,gold
27489IN-4ND,faucet,wall-mount,Fore Arc,sleek;modern,"Bold in stature with neo-modern expression, the Fore Arc® wall-mount cold water bathroom sink faucet trim brings sleek sophistication to your home. This futuristic-looking faucet with hidden aerator features a thin Lever handle for easy-to-grip, effortless control of the water temperature and volume. With a clean silhouette and durable construction, this faucet blends design with remarkable performance for the ultimate user experience.",3940,3,7,6.5,polished_chrome
27477IN-4ND,faucet,base-mount,Fore Tri,minimalist;sleek;modern,"Bold in stature with neo-modern expression, the Fore Tri® bathroom sink faucet brings sleek sophistication to your bathroom. This futuristic-looking faucet with hidden aerator features a thin Lever handle for easy-to-grip, effortless control of the water temperature and volume. With a clean silhouette and durable construction, this faucet blends design with remarkable performance for the ultimate user experience.",6400,6,2,4,polished_chrome
15847T,bath_tub,free_standing,Reach,contemporary;sleek;modern,"Clean, elegant and crisp lines allow for a sophisticated style to complement most contemporary spaces. This Reach™ drop-in bath offers an indulgent bathing experience in its deep basin with integral lumbar support. The sleek, acrylic construction offers exceptional durability with thoughtful touches like built-in integral overflow and location versatility.",31000,18.5,27.5,59,white
11195T,bath_tub,free_standing,Cleo,classic;traditional;ornate;luxury,"Breathing new life into a classic design, the Cleo™ freestanding cast iron bath effortlessly blends timeless design with a modern touch. Indulge in the warm and beautifully sensuous curves of the traditional basin, held gracefully by coordinating Victorian-era-inspired bath feet (sold separately). A gracious addition to any bathroom decor, the Cleo™ bath will stand as a testament to enduring style for years to come.",420000,26.5,31.5,69,white
15848T,bath_tub,drop_in,Reach,minimalist;contemporary;sleek,"Clean, elegant and crisp lines allow for a sophisticated style to complement most contemporary spaces. This Reach™ drop-in bath offers an indulgent bathing experience in its deep basin with integral lumbar support. The sleek, acrylic construction offers exceptional durability with thoughtful touches like built-in integral overflow and location versatility.",34000,17.5,27.5,67,white
18775T,bath_tub,drop_in,Duo,zen;natural;contemporary,"Clean, elegant, and contained, the Duo™ bath expresses contemporary warmth and simplicity. This Duo™ rectangular bath lets you indulge in a deep, immersive soak as you relax against the sloped lumbar support. The sleek, acrylic construction offers exceptional durability and location versatility.",42000,17,30,66,white
18343T,bath_tub,free_standing,Evok,luxury;sleek;modern;minimalist,"Clean, elegant, and contained, the Evok™ bath expresses contemporary warmth and simplicity. This Evok™ rectangular freestanding bath lets you indulge in a deep, immersive soak as you relax against the sloped lumbar support. The sleek, one-piece seamless acrylic construction offers exceptional durability and location versatility.",203500,24,30,66,white
25067IN,towel_arm,arm,Complementary,minimalist;sleek;modern,"With clean lines and square features, the Complementary™ towel arm has a sleek look that helps create a clutter-free, easy-to-clean bathroom atmosphere. Minimalistic lines lend themselves to a spectrum of modern design, blending precise angles with geometric forms to make a quiet statement in any bathroom space. The towel arm creates a dedicated place for wet towels to hang dry.",2880,2,10,3,polished_chrome
25065IN,towel_arm,bar,Complementary,modern;sleek;traditional,"With clean lines and square features, the Complementary™ square towel bar has a sleek look that helps create a clutter-free, easy-to-clean bathroom atmosphere. Minimalistic lines lend themselves to a spectrum of modern design, blending precise angles with geometric forms to make a quiet statement in any bathroom space. The towel bar creates a dedicated place for wet towels to hang and dry.",3810,2,24,3,polished_chrome
97497T,towel_arm,hotelier,Avid,luxury;ornate;contemporary,"Avid™ is the quintessential expression of today’s modern aesthetic movement, a harmonious blend of elegance and functionality. Its design celebrates the contrast between fluid, flowing curves and definitive, sharp lines, creating a visual language that exudes both sophistication and refinement. Every element reflects a purposeful intent—a balance of form and utility. The subtle and sensual curves of Avid™ beckon to be touched, introducing warmth and tactility, while its precise geometry instills a feeling of control and meticulous craftsmanship. The Avid™ 61 cm double towel bar is more than a functional accessory; it is a statement of style, adding an understated magnetism to any modern contemporary bathroom. Staying true to its roots in minimalist design, Avid™ offers a pure and mindful connection between the eye and the hand, transforming everyday interactions into moments of effortless beauty and elevated simplicity.",31500,4,24,10.5,polished_chrome
14436,towel_arm,bar,Purist,zen;natural;classic;minimalist,"KOHLER® Purist accessories combine architectural forms with sensual design lines for a modern, minimalist look. Featuring a sturdy round bar mount to the wall by circular plates, this towel bar brings the art of simplicity to your bath or powder room, blending in beautifully with the Purist Collection.",19000,2,26,3.5,brushed_bronze
22645IN,shower_head,wall-mount,Parallel,contemporary;classic;modern;traditional,"The Parallel™ collection is the epitome of understated chic. By combining circular shapes within the square design, the balanced versatility of this collection allows it to blend in or stand out depending on your surrounding decor. This square 12.7 cm single-function showerhead delivers contemporary style engineered for everyday reliability. Includes coordinating shower arm and flange.",4400,,,,polished_chrome
29959IN,shower_head,overhead,ModernLife Edge,modern;sleek;luxury;zen,"Bold lines meet minimalist details in the ModernLife Edge® two-function overhead shower panel, elevating the shower space from everyday functional to statement-making. Featuring a unique hexagonal shape, this ceiling-mount panel delivers two distinct sprays for a luxurious showering experience",173800,,,,gold
26290IN,shower_head,overhead,Statement,natural;sleek;minimalist,"Relax in a shower that fully soaks, restores, and targets sore muscles — all at the touch of a button. The oblong KOHLER Statement™ multifunction showerhead lets you choose from three spray experiences. Full Coverage with Katalyst air-induction technology for a drenching spray experience, a super-fine luxuriously soft Cloud spray experience, or more-focused, Deep Massage kinetic cross-streams, angled to relieve sore muscles. The multifunction showerhead features intuitive mode selector buttons and comes attached to an offset ball joint for 180-degree rotation, adjusting to any body height. Its sleek, minimalist design complements many other KOHLER faucets and accessories.",8300,,,,polished_chrome
16086IN-4,shower_fitting,valve,July,classic;traditional;contemporary;sleek,"With its contemporary curves and sleek, simple lines, the KOHLER July™ faucet collection brings refined European styling into your bathroom, merging elegance with an approachable price point. Each piece is thoughtfully designed to offer both functionality and sophistication, creating a seamless blend of beauty and practicality. The collection features a complementary angle stop valve with a wide, ergonomic lever handle, allowing for effortless control to quickly shut off or resume water supply to the bathroom, all without disrupting water flow to other areas in your home. Crafted with a durable brass valve body, the July™ collection ensures long-lasting performance and reliability, making it a timeless addition to your space. Whether you’re refreshing or remodeling, the clean, minimalist aesthetic of July™ enhances any decor, delivering an understated yet luxurious statement.",6000,,,,gold
26299IN,shower_fitting,spray,Statement,minimalist;sleek;natural,"Relax and relieve sore muscles with spa-like hydrotherapy in your upgraded custom shower space. This surface-mount single-function body spray features four high-pressure Deep Massage streams within a rotating ball joint, ideal for achy muscles. Semi-recessed into the shower wall, the body spray rotates 20° in any direction. Install multiples for the ultimate therapeutic shower experience.",10700,,,,polished_chrome
26300IN,shower_fitting,spray,Statement,modern;sleek;zen,"Relax and relieve sore muscles with spa-like hydrotherapy in your upgraded custom shower space. This innovative single-function Vichy body spray lets you experience an affusion-style shower, similar to treatments offered at Kohler Waters Spa, within the comfort of your own home. The Statement Vichy body spray features a line of 14 twirling, Deep Massage streams, targeting achy muscles. This easy-to-install, semi-recessed Oblong Vichy shower wall spray boasts a sleek minimalist profile. Install multiple Vichy sprays, in the orientation of your choice, for the ultimate therapeutic shower experience.",19000,,,,polished_chrome
26334IN-9,shower_fitting,column,Anthem,luxury;modern;contemporary,"Create an elegant, spa-like showering experience with luxurious multifunction rainhead and handshower versatility in the thermostatic bath/shower column. Influenced by iconic design, the system features a built-in shelf storage, intuitive push button and dial controls, and integrated thermostatic valve/control panel. The all-encompassing column is easy to install and service in your remodel or new construction project. This four-way column also features a cascading bath filler.",197400,,,,polished_chrome
12067IN,shower_fitting,hose,Statement,minimalist;modern;traditional,"Kohler has everything you need to create an extraordinary showering space. With an interlocking stainless steel surface to maintain durability and resist rust, this 150 cm handshower hose resists twisting to make showering easier. Your custom showering experience is waiting, just pair this flexible hose with the handshower of your choice",2160,,,,polished_chrome
